Источники   ;   Sources   ;   来源
Множитель для членов компенсации дисбаланса энтальпииE   ;   The multiplier for the members of the enthalpy imbalance compensation   ;   焓不平衡补偿成员的乘数
Порядок формулы дифференцирования назад2   ;   The order of the differentiation formula backwards   ;   微分公式的顺序向后
Макс. число итераций при решении уравнений движения и энергииG   ;   Max. number of iterations in solving the equations of motion and energy   ;   最大限度。求解运动和能量方程的迭代次数
Максимальное кол-во попыток уменьшения шага интегрирования   ;   The maximum number of attempts to reduce the integration step   ;   减少积分步骤的最大尝试次数
Схема аппроксимаций значений на границах ячеекC   ;   The scheme of approximations of values on the boundaries of cells   ;   单元边界值的近似方案
Учитывать производную площади по длине dS/dx?5   ;   Consider the area derivative over the length dS / dx   ;   考虑长度上的面积导数 dS / dx
Учитывать производную давления по длине dP/dx   ;   Consider the pressure derivative along the length dP / dx   ;   考虑沿长度的压力导数 dP / dx
Учитывать производную расхода по длине dG/dx?B   ;   Consider the derivative of the flow rate along the length dG / dx?0   ;   考虑流量沿长度的导数 dG / dx?0
Учитывать производную плотности по длине dRo/dx?9   ;   Consider the density derivative over the length dRo / dx   ;   考虑长度上的密度导数 dRo / dx
Постоянные распада пассивных примесей, 1/с   ;   Constant decay of passive impurities, 1 / s   ;   惰性杂质恒定衰减，1/s
Имя проекта TPP   ;   TPP Project Name   ;   TPP项目名称
Тип расчёта   ;   Type of payment   ;   付款方式
Версия расчётного кода (x32r8   ;   Version of the calculation code (x32r8   ;    x64r8)
Параметры рестарта   ;   Restart Options   ;   重新启动选项
Время окончания счёта   ;   End time of the account   ;   账户结束时间
Параметры интегрирования модели   ;   Model Integration Parameters   ;   模型集成参数
Шаг печати результатов   ;   Step Print Results   ;   步骤打印结果
Шаг обмена   ;   Step exchange   ;   步调交换
Параметры расчёта теплообмена   ;   Heat exchange calculation parameters   ;   换热计算参数
Параметры расчёта примесей   ;   Parameters for the calculation of impurities   ;   杂质计算参数
Параметры удалённого расчёта   ;   Remote calculation parameters   ;   远程计算参数
Использовать общий рестарт   ;   Use a common restart)   ;   使用普通重启）
Код продолжения (для отдельного рестарта)   ;   Continuation code (for a separate restart)   ;   继续代码（用于单独重新启动）
Файл рестарта проекта   ;   Project Restart File   ;   项目重启文件
Коэффициент верхней релаксации   ;   Coefficient of upper relaxation   ;   上部松弛系数
Шаг интергирования ур-й энергии   ;   The step of intercalating the ur-th energy   ;   插入第ur个能量的步骤
Шаг интегрирования уравнений движения   ;   Step of integration of the equations of motion   ;   运动方程的积分步骤
Число шагов интегр-я при достижении стационара>   ;   Number of steps of the integrator when the hospital is reached   ;   到达医院时积分器的步数
Учитывать dM/dt для ВСЕЙ схемы   ;   Consider dM / dt for the whole scheme3   ;   考虑整个方案的 dM / dt3
Учёт адиабатического расширения для ступеней турбин   ;   Adiabatic expansion for the turbine stages   ;   涡轮级的绝热膨胀
Приведённая степень черноты   ;   Reduced blackness   ;   减少黑度
Мин.запас до кризиса   ;   Min.zapas before the crisis   ;   危机前的明萨帕斯
Постоянная стабилизации alfa   ;   Constant stabilization of alfa   ;   alfa 持续稳定
Постоянная стабилизации потока   ;   Constant flow stabilization   ;   恒流稳定
Наличие барботажа в паровой объём(   ;   Presence of bubbling in the steam volume   ;   蒸汽体积中存在气泡
Шаг пересчёта к-та теплоотдачи   ;   Step of recalculation of heat transfer   ;   重新计算传热的步骤
